"Packet","Sequence","Delta (ms)","Jitter (ms)","Skew","Bandwidth","Marker","Status"
"142.250.82.209:3478 â†’ 192.168.0.7:54159 (0x00000000)"
1805,1,0,0,0,0.52,"","OK"
1806,2,0.0010000000002037268,0,0,2.824,"","OK"
1807,3,0.0010000000002037268,0,0,5.128,"","OK"
1808,4,0,0,0,7.432,"","OK"
1809,5,0.0010000000002037268,0,0,9.736,"","OK"
1810,6,0.0010000000002037268,0,0,12.04,"","OK"
1811,7,0.0010000000002037268,0,0,14.344,"","OK"
1812,8,0.0010000000002037268,0,0,16.648,"","OK"
1893,9,21.807999999999083,0,0,18.952,"","OK"
1894,10,0.0010000000002037268,0,0,19.608,"","OK"
1895,11,0.0010000000002037268,0,0,21.912,"","OK"
1896,12,0.0010000000002037268,0,0,24.216,"","OK"
1897,13,0.0010000000002037268,0,0,26.52,"","OK"
1898,14,0.0010000000002037268,0,0,28.824,"","OK"
1899,15,0,0,0,31.128,"","OK"
1900,16,0.0009999999983847374,0,0,33.432,"","OK"
1912,17,32.23500000000058,0,0,35.232,"","OK"
